model,accuracy,precision,recall,f1,roc_auc
lightgbm,0.90885,0.48097742035261365,0.9147058823529411,0.6304480032434624,0.9790609932497588
xgboost,0.97185,0.9671322925225966,0.6923529411764706,0.8069934864586904,0.9794705078752812
gradient_boost,0.972,0.9695222405271828,0.6923529411764706,0.8078242964996568,0.9797708293153328
random_forest,0.97225,0.999128160418483,0.6741176470588235,0.8050579557428873,0.9701786724525876
log_reg,0.96045,0.8587213891081295,0.64,0.7334007414897202,0.9624977017036324
